1,16,3,42,31,21,49,12,5,50,46,26,46
2,23,8,11,7,18,1,1,35,39,3,31,18
3,36,12,28,32,41,46,24,26,23,14,1,27
4,26,14,39,19,22,49,13,7,24,45,42,35
5,35,45,11,48,12,12,42,44,44,39,39,25
6,26,36,20,13,14,25,37,20,40,11,4,2
7,7,30,48,16,34,17,35,1,29,26,34,26
8,15,28,4,24,11,45,30,22,42,23,35,10
9,39,6,37,42,25,6,3,1,13,23,23,9
10,20,15,28,5,3,16,42,50,30,33,35,2
11,6,2,49,17,32,26,16,28,49,7,21,11
12,14,4,21,27,9,27,1,49,7,44,6,14
13,41,30,28,23,27,20,20,14,36,1,15,31
14,44,8,32,19,3,20,44,11,12,36,44,18
15,34,9,21,22,19,22,40,20,18,48,22,5
16,36,9,29,21,1,14,46,43,49,12,46,26
17,5,11,12,7,18,19,35,40,42,20,47,11
18,38,24,36,13,11,6,11,27,4,5,24,6
19,14,15,18,50,31,35,1,40,30,10,16,7
20,9,8,43,45,33,41,4,43,10,19,34,42
21,49,39,21,13,5,50,40,8,48,2,9,14
22,18,45,37,37,21,47,29,23,46,15,35,32
23,39,25,31,35,16,9,34,29,3,22,3,45
24,11,18,25,47,43,38,40,21,5,47,45,24
25,18,21,34,16,24,3,8,18,9,25,39,22
26,15,5,6,43,11,49,1,43,6,39,10,9
27,23,34,50,49,17,44,50,32,5,20,35,37
28,29,10,41,33,33,45,42,9,37,19,26,33
29,50,2,23,10,42,37,35,9,19,7,4,3
30,10,17,33,22,36,17,50,29,11,7,27,40
31,5,36,48,37,20,2,22,43,26,49,20,36
32,23,14,5,42,34,16,3,2,48,25,41,48
33,32,31,36,18,12,41,47,40,10,14,38,33
34,39,17,35,7,46,7,8,41,21,29,8,10
35,14,39,17,50,50,22,7,8,11,40,2,50
36,7,16,17,21,25,2,27,19,50,12,15,7
37,16,44,35,37,47,19,23,48,36,27,37,18
38,8,31,19,40,29,39,34,3,21,34,38,47
39,3,6,29,7,38,42,33,37,19,16,17,41
40,27,44,47,30,46,22,9,49,17,2,43,16
41,14,40,44,30,14,7,3,6,22,26,30,10
42,20,34,50,13,22,44,50,33,48,8,37,11
43,11,41,11,34,27,10,10,4,12,50,37,13
44,6,24,18,29,2,8,43,27,15,27,41,43
45,16,22,42,25,44,6,21,20,27,11,31,33
46,35,19,28,38,44,2,34,48,14,30,32,15
47,50,41,41,49,46,6,5,24,43,19,3,24
48,11,1,5,45,25,39,23,34,44,24,25,34
49,17,30,46,42,4,26,29,13,26,25,44,13
50,20,16,12,13,1,14,14,21,9,19,46,19
51,42,13,30,50,45,44,4,37,15,20,15,5
52,30,28,8,23,20,44,12,27,13,18,4,27
53,50,22,34,18,32,3,44,43,42,44,34,8
54,44,49,7,49,44,19,8,46,18,48,19,3
55,19,43,25,5,21,13,44,45,29,13,39,18
56,4,23,1,45,5,19,26,12,23,49,42,39
57,21,8,38,12,16,20,39,3,27,12,13,16
58,10,22,20,14,31,12,20,45,2,27,21,26
59,18,3,41,42,50,37,45,35,24,7,36,3
60,44,25,12,19,11,42,24,50,43,38,45,45
61,22,23,43,9,16,26,15,29,2,19,43,22
62,13,1,19,4,48,39,34,28,37,46,30,29
63,32,14,12,31,34,9,44,26,40,14,17,9
64,31,14,33,11,3,41,45,26,33,18,45,6
65,17,13,10,45,18,49,33,49,34,16,43,17
66,13,37,3,45,21,11,22,3,45,10,44,41
67,43,1,30,49,25,12,28,11,41,18,44,21
68,30,33,50,34,14,4,22,43,19,45,50,5
69,50,23,35,42,31,39,20,32,5,7,21,28
70,17,14,43,7,8,12,7,39,34,5,15,41
71,7,33,44,18,35,23,20,1,37,33,17,36
72,23,19,24,41,42,47,2,40,23,12,28,38
73,17,44,28,48,48,45,3,17,37,24,19,10
74,50,45,28,45,21,36,25,35,15,4,8,49
75,26,48,11,4,17,14,22,41,11,18,38,36
76,17,7,8,39,38,34,18,13,25,21,35,33
77,34,36,45,22,42,38,50,15,39,33,36,25
78,39,28,45,6,46,14,6,36,27,21,20,5
79,26,22,27,9,29,44,45,24,45,32,30,49
80,10,23,10,21,49,34,49,9,16,35,30,25
81,43,44,45,16,8,27,16,50,6,40,36,5
82,24,31,46,16,4,7,10,28,5,14,14,1
83,39,47,50,33,39,19,8,16,39,34,36,3
84,5,1,27,17,4,38,31,23,6,36,42,33
85,37,13,27,47,26,25,46,42,30,18,36,39
86,35,17,4,47,5,38,30,2,23,49,3,9
87,26,34,17,38,26,15,45,49,39,30,29,5
88,21,36,46,49,3,10,11,40,33,48,1,14
89,22,6,42,14,15,8,27,37,34,12,45,11
90,30,22,32,16,26,16,22,2,47,5,37,38
91,12,12,6,30,47,9,27,15,41,19,9,3
92,10,34,30,29,42,11,49,35,3,4,3,22
93,13,45,49,21,5,14,46,10,47,19,30,11
94,25,50,32,50,3,47,39,43,8,37,30,2
95,43,21,24,17,1,17,20,13,13,48,3,1
96,29,50,42,7,8,22,5,20,30,43,16,10
97,24,48,9,47,45,49,31,34,36,40,24,39
98,19,35,21,9,48,39,18,33,41,4,41,10
99,42,20,44,9,45,15,25,15,33,42,40,2
100,12,2,45,39,20,6,23,42,43,34,24,22
101,44,44,42,22,10,47,5,11,42,3,37,44
102,19,11,35,4,35,48,22,25,22,39,46,29
103,11,19,31,46,42,45,28,12,25,40,7,49
104,24,25,31,23,49,13,45,6,6,47,20,32
105,20,16,38,33,9,2,5,15,17,10,48,29
106,24,19,24,50,41,2,46,12,16,2,35,32
107,22,49,38,18,47,15,32,20,47,29,48,47
108,46,24,46,8,50,38,1,23,48,31,49,29
109,9,9,45,44,49,26,19,19,7,49,24,11
110,41,1,50,39,36,13,41,14,38,39,50,34
111,13,41,1,18,41,15,45,47,35,17,48,5
112,33,27,10,35,11,43,40,3,35,23,26,19
113,9,28,30,9,38,35,42,43,17,26,15,7
114,42,29,36,25,44,38,23,3,21,9,36,5
115,17,41,30,20,11,41,16,48,22,13,49,2
116,26,24,37,22,6,40,26,10,29,24,48,50
117,15,16,19,41,29,12,21,40,3,35,43,46
118,11,28,6,9,2,43,16,12,15,24,49,41
119,7,20,2,16,27,2,17,7,12,30,30,10
120,5,26,42,29,19,39,15,17,34,1,26,19
121,49,10,24,3,4,17,33,25,35,33,48,33
122,24,21,50,4,14,26,23,11,30,42,34,26
123,36,1,41,17,28,26,3,49,9,29,19,49
124,30,38,49,46,34,9,6,35,48,23,6,17
125,4,13,5,17,46,9,14,23,14,50,44,6
126,16,43,30,7,1,42,45,25,13,45,42,2
127,15,50,4,8,5,3,21,14,16,6,46,48
128,13,32,4,16,23,19,41,47,14,2,2,22
129,31,36,2,7,1,20,1,40,43,2,41,39
130,35,43,48,40,8,17,8,43,37,37,8,3
131,38,37,9,43,38,19,11,20,21,38,21,2
132,13,17,7,20,43,45,49,2,48,18,17,24
133,43,31,31,5,40,44,50,6,12,3,14,5
134,8,14,11,45,46,37,8,50,6,27,37,21
135,44,41,34,30,21,23,33,2,34,5,46,18
136,39,3,2,13,20,12,48,37,46,22,46,28
